Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1659288511,6,POST,/purchasePlaces,0.375000,0.000000,3,3,3,3,3,3,3,3,3,3,3,4,0,3,2.7754750000000827,2.5959999999995986,3.0236999999999625,1325.0
1659288511,6,POST,/showSummary,0.000000,0.000000,3,3,3,3,3,3,3,3,3,3,3,2,0,2.43699999999869,2.5149999999989348,2.43699999999869,2.5929999999991793,1135.0
1659288511,6,,Aggregated,1.625000,0.000000,3,3,3,4,4,5,8,8,8,8,8,21,0,3,3.141300000000013,1.8471000000008786,8.032700000000004,878.5714285714286
1659288512,6,GET,/,0.444444,0.000000,2,2,3,3,8,8,8,8,8,8,8,7,0,2,3.1162285714286964,1.8471000000008786,8.032700000000004,462.0
1659288512,6,GET,/book/Spring%20Festival/Simply%20Lift,0.444444,0.000000,3,3,3,3,3,3,3,3,3,3,3,5,0,2.95000000000023,2.6562600000000103,2.115500000000381,2.95000000000023,1252.0
1659288512,6,GET,/logout,0.333333,0.000000,4,4,5,5,5,5,5,5,5,5,5,4,0,4.077500000001066,4.328625000000086,4.077500000001066,4.814200000000213,462.0
1659288512,6,POST,/purchasePlaces,0.444444,0.000000,3,3,3,3,3,3,3,3,3,3,3,4,0,3,2.7754750000000827,2.5959999999995986,3.0236999999999625,1325.0
1659288512,6,POST,/showSummary,0.000000,0.000000,3,3,3,3,3,3,3,3,3,3,3,2,0,2.43699999999869,2.5149999999989348,2.43699999999869,2.5929999999991793,1135.0
1659288512,6,,Aggregated,1.666667,0.000000,3,3,3,4,4,5,8,8,8,8,8,22,0,3,3.115513636363612,1.8471000000008786,8.032700000000004,859.6363636363636
1659288513,6,GET,/,0.500000,0.000000,2,2,3,3,8,8,8,8,8,8,8,8,0,2,3.0382249999999775,1.8471000000008786,8.032700000000004,462.0
